IdCustomer,Text,Target
3123,Service tayara avec jumia,Positive
2228,"pouffe sympa et pas encombrante, belle couleur,  mais c'est cher pou ce que c'est",Neutre
2217,C'est ce que je voulais. Pas de mauvaise surprise,Positive
1334,"Très confortable, je le recommande vivement",Positive
4086,parfait,Positive
3840,Le panceau très petite,Neutre
3164,Très jolie armoire faisant son petit effet. Très pratique,Positive
1125,J'aime la qualité et surtout confortable au niveau des oreilles,Positive
869,Attention masques pour enfants,Positive
1068,bon produit,Positive
2923,3 sur 4,Positive
3622,Efficacité et sécurité,Positive
2979,Bon produit,Positive
1959,Bien rembourrée,Positive
4174,Bon produit,Negative
658,Comme d'habitude,Positive
1086,Service impeccable dans le temps de confinement,Positive
1024,Bon produit,Positive
1882,Merci jumia les armoires sont formidable,Positive
3754,Les couleurs ????????j'addooore,Positive
1991,Bonne affaire,Positive
1548,"Une grande quantité 
Bon lavage et prix très raisonnable",Positive
3694,résiste toute la journée,Positive
2957,article conforme a la publicité,Positive
2029,"Tres bonne qualité, trop satisfait",Positive
1729,"La brosse a dents est de tres mauvaise qualité,il faut dire qu'elle edt dangereuse pour la santé des enfants, les poils se detachent dés la 1ere utilisation.
Brosse a dents jetée a la poubelle a la 3eme utilisation.
Pour la brosse a cheveux pas de probleme",Negative
893,La qualité est la même que celles que je suis entrain d'utiliser à l'hôpital. Donc 5/5 sur la qualité (bien sûr c'est à utiliser pendant maximum 6heures puis elle doit être changée comme toutes les bavettes chirurgicale). Et le compte est bon le paquet contient 50 bavettes :),Positive
1048,Sa qualité de verre,Positive
199,Très loin des autres  marques.,Negative
1928,Très bonne qualité. je recommande vivement.,Positive
1613,Merci pour la perfection,Positive
116,"Bon produit, bon rapport qualité prix",Positive
2295,Adhésif 0,Negative
405,Produit utile à la maison,Positive
554,4 étoiles,Positive
649,Qualité top,Positive
1932,bonne qualité,Positive
2506,Excellent produit ..ne colle pas du tout,Positive
414,Bonne qualité et grande quantité,Positive
1348,très efficace pour tous les usages,Positive
3907,normalement les gel aloe vera ca calme les irritations. Ce gel ne fait rien du tout. FLOP!,Negative
2054,Si la couleur était plus foncée,Neutre
1410,C'est de l'eau je l'ai jeté,Negative
3077,"Bonne qualité pour son prix, facile à monter et stable.",Positive
2822,Nul Par rapport qualité prix,Negative
863,Qualité très mauvaise,Negative
442,texture top avec un emballage parfait et un certificat fournie relatif à la qualité du miel,Positive
1187,bon produit,Positive
1677,3 étoiles,Neutre
3909,Je regrette de l'avoir acheté il ne couvre rien du tout,Negative
2664,Satisfait,Positive
2728,Rapport qualité prix ey3addi rou7ou,Neutre
1914,Je suis satisfaite,Positive
4091,Top de top ! les couleurs magnifiques,Positive
4423,Non encore utilisé,Positive
1787,"Produit de bonne qualité, avec une lumière vif et une belle selection de couleurs",Positive
3650,Rien dire ce crayon est parfait vu sa texture veloutée et sa finesse et souplesse.,Positive
3378,joli mais fragile,Negative
1838,Les couleurs,Positive
721,Merci pr le pdt,Positive
1552,"Rien à dire , très bon !",Positive
3206,"Non robuste, très fin",Negative
3301,Pas facile pour le nettoyage,Negative
2478,Excellente qualité prix,Positive
3071,il est de haute qualité el 7a9,Positive
970,je le recommande,Positive
1394,Toute est OK pour la livraison et le peoduit,Positive
1333,Pratique à glisser dans son sac,Positive
